year,fips,naics,emp
2014,01029,44----,262
2014,01029,48----,15
2014,01029,52----,58
2014,01029,54----,22
2014,01029,56----,19
2014,01029,62----,75
2014,01029,72----,149
2014,01029,81----,92
2014,01031,11----,46
2014,01031,22----,59
2014,01031,23----,384
2014,01031,31----,3179
2014,01031,42----,255
2014,01031,44----,2273
2014,01031,48----,744
2014,01031,51----,133
2014,01031,52----,484
2014,01031,53----,177
2014,01031,54----,431
2014,01031,55----,9
2014,01031,56----,571
2014,01031,61----,59
2014,01031,62----,1957
2014,01031,71----,138
2014,01031,72----,1238
2014,01031,81----,761
2014,01033,11----,12
2014,01033,21----,174
2014,01033,22----,9
2014,01033,23----,1299
2014,01033,31----,6052
2014,01033,42----,750
2014,01033,44----,2875
2014,01033,48----,360
2014,01033,51----,69
2014,01033,52----,639
2014,01033,53----,155
2014,01033,54----,306
2014,01033,55----,59
2014,01033,56----,2018
2014,01033,61----,52
2014,01033,62----,2595
2014,01033,71----,109
2014,01033,72----,1696
2014,01033,81----,921
2014,01035,11----,159
2014,01035,21----,3
2014,01035,22----,9
2014,01035,23----,84
2014,01035,31----,501
2014,01035,42----,374
2014,01035,44----,296
2014,01035,48----,293
2014,01035,51----,9
2014,01035,52----,46
2014,01035,54----,30
2014,01035,56----,19
2014,01035,61----,19
2014,01035,62----,276
2014,01035,72----,202
2014,01035,81----,56
2014,01037,11----,48
2014,01037,22----,9
2014,01037,23----,15
2014,01037,31----,512
2014,01037,42----,59
2014,01037,44----,154
2014,01037,48----,9
2014,01037,52----,11
2014,01037,53----,9
2014,01037,54----,9
2014,01037,56----,3
2014,01037,62----,99
2014,01037,72----,129
2014,01037,81----,56
2014,01039,11----,52
2014,01039,21----,9
2014,01039,22----,394
2014,01039,23----,621
2014,01039,31----,2286
2014,01039,42----,516
2014,01039,44----,1801
2014,01039,48----,345
2014,01039,51----,88
2014,01039,52----,354
2014,01039,53----,143
2014,01039,54----,296
2014,01039,55----,9
2014,01039,56----,693
2014,01039,61----,9
2014,01039,62----,1664
2014,01039,71----,48
2014,01039,72----,844
2014,01039,81----,551
2014,01041,11----,109
2014,01041,22----,9
2014,01041,23----,97
2014,01041,31----,1243
2014,01041,42----,368
2014,01041,44----,241
2014,01041,48----,131
2014,01041,51----,9
2014,01041,52----,98
2014,01041,53----,19
2014,01041,54----,29
2014,01041,61----,49
2014,01041,62----,476
2014,01041,72----,178
2014,01041,81----,86
2014,01043,11----,101
2014,01043,21----,59
2014,01043,22----,200
2014,01043,23----,1350
2014,01043,31----,4874
2014,01043,42----,946
2014,01043,44----,3598
2014,01043,48----,1733
2014,01043,51----,223
2014,01043,52----,793
2014,01043,53----,175
2014,01043,54----,431
2014,01043,55----,59
2014,01043,56----,951
2014,01043,61----,85
2014,01043,62----,3430
2014,01043,71----,91
2014,01043,72----,2519
2014,01043,81----,1259
2014,01045,11----,89
2014,01045,22----,99
2014,01045,23----,628
2014,01045,31----,476
2014,01045,42----,175
2014,01045,44----,1253
2014,01045,48----,3091
2014,01045,51----,59
2014,01045,52----,242
2014,01045,53----,173
2014,01045,54----,1018
2014,01045,55----,374
2014,01045,56----,224
2014,01045,61----,220
2014,01045,62----,1241
2014,01045,71----,19
2014,01045,72----,1067
2014,01045,81----,522
2014,01047,11----,55
2014,01047,21----,59
2014,01047,22----,116
2014,01047,23----,458
2014,01047,31----,2741
2014,01047,42----,218
2014,01047,44----,1674
2014,01047,48----,59
2014,01047,51----,90
2014,01047,52----,271
2014,01047,53----,79
2014,01047,54----,204
2014,01047,55----,9
2014,01047,56----,269
2014,01047,61----,302
2014,01047,62----,1880
2014,01047,71----,59
2014,01047,72----,838
2014,01047,81----,673
2014,01049,11----,9
2014,01049,21----,9
2014,01049,22----,59
2014,01049,23----,444
2014,01049,31----,6909
2014,01049,42----,525
2014,01049,44----,2311
2014,01049,48----,619
2014,01049,51----,215
2014,01049,52----,459
2014,01049,53----,155
2014,01049,54----,363
2014,01049,55----,44
2014,01049,56----,669
2014,01049,61----,72
2014,01049,62----,2493
2014,01049,71----,41
2014,01049,72----,1568
2014,01049,81----,425
2014,01051,11----,67
2014,01051,21----,9
2014,01051,22----,131
2014,01051,23----,882
2014,01051,31----,2787
2014,01051,42----,291
2014,01051,44----,2868
2014,01051,48----,144
2014,01051,51----,93
2014,01051,52----,406
2014,01051,53----,143
2014,01051,54----,373
2014,01051,55----,9
2014,01051,56----,320
2014,01051,61----,357
2014,01051,62----,2126
2014,01051,71----,1045
2014,01051,72----,1692
2014,01051,81----,938
2014,01051,99----,1
2014,01053,11----,209
2014,01053,21----,185
2014,01053,22----,95
2014,01053,23----,358
2014,01053,31----,2025
2014,01053,42----,142
2014,01053,44----,1829
2014,01053,48----,499
2014,01053,51----,167
2014,01053,52----,443
2014,01053,53----,69
2014,01053,54----,159
2014,01053,55----,75
2014,01053,56----,147
2014,01053,61----,49
2014,01053,62----,1143
2014,01053,71----,105
2014,01053,72----,1837
2014,01053,81----,405
2014,01055,11----,15
2014,01055,21----,9
2014,01055,22----,203
2014,01055,23----,1027
2014,01055,31----,4750
2014,01055,42----,972
2014,01055,44----,4465
2014,01055,48----,665
2014,01055,51----,312
2014,01055,52----,1027
2014,01055,53----,314
2014,01055,54----,602
2014,01055,55----,65
2014,01055,56----,1578
2014,01055,61----,225
2014,01055,62----,7134
2014,01055,71----,303
2014,01055,72----,3337
2014,01055,81----,1569
2014,01057,11----,66
2014,01057,21----,44
2014,01057,22----,59
2014,01057,23----,74
2014,01057,31----,786
2014,01057,42----,39
2014,01057,44----,579
2014,01057,48----,98
2014,01057,51----,37
2014,01057,52----,82
2014,01057,53----,8
2014,01057,54----,41
2014,01057,62----,726
2014,01057,72----,265
2014,01057,81----,138
2014,01059,11----,55
2014,01059,21----,59
2014,01059,22----,59
2014,01059,23----,211
2014,01059,31----,4438
2014,01059,42----,109
2014,01059,44----,936
2014,01059,48----,248
2014,01059,51----,67
2014,01059,52----,392
2014,01059,53----,31
2014,01059,54----,170
2014,01059,55----,131
2014,01059,56----,1428
2014,01059,62----,1034
2014,01059,72----,461
2014,01059,81----,262
2014,01061,11----,9
2014,01061,22----,59
2014,01061,23----,136
2014,01061,31----,636
2014,01061,42----,432
2014,01061,44----,777
2014,01061,48----,174
2014,01061,51----,9
2014,01061,52----,139
2014,01061,53----,9
2014,01061,54----,124
2014,01061,55----,59
2014,01061,56----,100
2014,01061,62----,583
2014,01061,71----,9
2014,01061,72----,266
2014,01061,81----,142
2014,01063,11----,23
2014,01063,22----,9
2014,01063,23----,73
2014,01063,31----,444
2014,01063,42----,9
2014,01063,44----,179
2014,01063,48----,8
2014,01063,51----,9
2014,01063,52----,28
2014,01063,54----,8
2014,01063,55----,9
2014,01063,61----,9
2014,01063,62----,374
2014,01063,71----,210
2014,01063,72----,29
2014,01063,81----,45
2014,01065,11----,73
2014,01065,22----,9
2014,01065,23----,149
2014,01065,31----,484
2014,01065,42----,20
2014,01065,44----,273
2014,01065,48----,44
2014,01065,51----,9
