country,fhrev,muslim,income,elf,growth,britcol,postcom,opec
Mauritan       ,1.90000009535741,1,2.6414741105041,0.19,-0.6,0,0,0
Mauritius      ,6.45000004767414,0,3.47055748521727,0.6,4.3,1,0,0
Mex            ,4.40000009535741,0,3.60702587843479,0.13,1.2,0,0,0
Mol            ,4.15000009535741,0,3.24944296144258,0.59,-4.7,0,1,0
Mon            ,5.49999999998933,0,2.69722934275972,0.3,-0.1,0,1,0
Mor            ,3.09999990462277,1,3.11727129565576,0.47,1.6,0,0,0
Moz            ,3.90000009535741,0,2.15836249209525,0.92,0.7,0,0,0
Mya            ,0.999999999989331,0,2.86332286012046,0.64,1.5,1,0,0
Nam            ,5.54999995230605,0,3.2895889525426,0.84,-0.6,0,0,0
Nep            ,4.70000004767414,0,2.26007138798507,0.69,1.6,0,0,0
Neth           ,7,0,4.38037407161362,0.2,1.8,0,0,0
Nic            ,4.59999990462277,0,2.66275783168157,0.08,-3.4,0,0,0
Niger          ,3.15000009535741,1,2.37106786227174,0.64,-1.4,0,0,0
Nigeria        ,2.59999990462277,1,2.41161970596323,0.88,-0.7,1,0,1
Nor            ,7,0,4.45999525604739,0.08,2.9,0,0,0
NZ             ,7,0,4.17684338450374,0.1,0.7,1,0,0
Oman           ,2.09999990462277,1,3.74671202251666,0.68,2.4,0,0,0
Pak            ,3.40000009535741,1,2.65127801399814,0.83,2.7,1,0,0
Pan            ,5.65000009535741,0,3.40191725051757,0.23,1,0,0,0
PapNG          ,5.24999999998933,0,2.9484129657786,0.99,0.2,0,0,0
Par            ,4.65000009535741,0,3.25911584418507,0.33,1.4,0,0,0
Peru           ,3.59999990462277,0,3.30362797638389,0.35,-0.4,0,0,0
Phil           ,5.15000009535741,0,3.02694162795903,0.85,0.5,0,0,0
Pol            ,6.3,0,3.46239799789896,0.12,1.6,0,1,0
Por            ,7,0,3.98659260682221,0.02,2.9,0,0,0
Rom            ,4.95000004767414,0,3.19755621315354,0.2,-0.1,0,1,0
Rus            ,4.24999999998933,0,3.56442932699798,0.27,-0.8,0,1,0
Rwa            ,1.69999980925469,0,2.46538285144842,0,-0.1,0,0,0
SAf            ,5.49999999998933,0,3.61415870950918,0.87,-0.7,0,0,0
SArab          ,1.0500001907255,1,3.85125834871908,0.56,-1.7,0,0,1
Sen            ,4.04999995230605,1,2.75739602879302,0.77,-0.2,0,0,0
Sing           ,2.8,0,4.30031281793437,0.74,5.7,1,0,0
SKor           ,5.9,0,3.90129481716557,0,6,0,0,0
SLeo           ,2.49999999998933,1,2.4456042032736,0.82,-3.2,1,0,0
Slovak         ,5.56,0,3.58263143948964,0.25,0.6,0,1,0
Sloven         ,6.35,0,3.98493216606741,0.17,1.2,0,1,0
Spa            ,6.5,0,4.12972210869588,0.44,1.9,0,0,0
SriLan         ,3.94999980925469,0,2.77085201164214,0.31,3.3,1,0,0
Sud            ,0.999999999989331,1,2.29666519026153,0.56,1,1,0,0
Swaz           ,2.5500001907255,0,3.16016829295851,0.23,1.2,1,0,0
Swe            ,7,0,4.42155457241988,0.37,1.2,0,0,0
Swit           ,7,0,4.662294967077,0.53,0.9,0,0,0
Syr            ,0.999999999989331,1,2.9804578922761,0.5,1.3,0,0,0
Taj            ,1.90000009535741,1,2.8561244442423,0.48,-6.7,0,1,0
Tan            ,2.99999999998933,0,2.24303804868629,0.95,0.2,1,0,0
Thai           ,4.65000009535741,0,3.3023309286844,0.75,4.9,0,0,0
Togo           ,2.5500001907255,0,2.57403126772772,0.89,-0.9,0,0,0
Trin           ,6.64999997614845,0,3.61225390609644,0.47,1.5,1,0,0
Tun            ,2.5500001907255,1,3.26078666865498,0.01,2.2,0,0,0
Turk           ,3.74999999998933,1,3.41313205043487,0.25,2.3,0,0,0
Turkmn         ,1.19999980925469,1,3.06220580881971,0.38,-7.6,0,1,0
UAE            ,2.45,1,4.32199174754726,0.78,-3.5,0,0,1
Uga            ,3.09999990462277,0,2.39967372148104,0.93,2.2,1,0,0
UK             ,6.5,0,4.25604389870203,0.07,1.9,0,0,0
Ukr            ,4.45000004767414,0,3.2964457942064,0.48,-7.6,0,1,0
Uru            ,6.4,0,3.66379512221941,0.09,1.7,0,0,0
US             ,7,0,4.40420062170135,0.35,1.9,1,0,0
Uz             ,1.40000009535741,1,3.1264561134318,0.44,-2,0,1,0
Ven            ,4.99999999998933,0,3.52543355342882,0.02,-0.8,0,0,1
Vie            ,0.999999999989331,0,2.31386722036915,0.2,4.4,0,0,0
Yem            ,2.65000009535741,1,2.42488163663107,0.56,-0.6,0,0,0
Zam            ,4.20000004767414,0,2.65321251377534,0.9,-2.2,1,0,0
Zim            ,2.99999999998933,0,2.8488047010518,0.56,0.1,1,0,0
